Date,Value
01/1915,19.25
02/1915,19.25
03/1915,19.25
04/1915,19.25
05/1915,19.25
06/1915,19.25
07/1915,19.25
08/1915,19.25
09/1915,19.25
10/1915,19.25
11/1915,19.25
12/1915,19.25
01/1916,19.47
02/1916,19.47
03/1916,19.47
04/1916,19.47
05/1916,19.47
06/1916,19.47
07/1916,19.47
08/1916,19.47
09/1916,19.47
10/1916,19.47
11/1916,19.47
12/1916,19.47
01/1917,19.66
02/1917,19.66
03/1917,19.66
04/1917,19.66
05/1917,19.66
06/1917,19.66
07/1917,19.66
08/1917,19.66
09/1917,19.66
10/1917,19.66
11/1917,19.66
12/1917,19.66
01/1918,19.84
02/1918,19.84
03/1918,19.84
04/1918,19.84
05/1918,19.84
06/1918,19.84
07/1918,19.84
08/1918,19.84
09/1918,19.84
10/1918,19.84
11/1918,19.84
12/1918,19.84
01/1919,20.03
02/1919,20.03
03/1919,20.03
04/1919,20.03
05/1919,20.03
06/1919,20.03
07/1919,20.03
08/1919,20.03
09/1919,20.03
10/1919,20.03
11/1919,20.03
12/1919,20.03
01/1920,20.63
02/1920,20.63
03/1920,20.63
04/1920,20.63
05/1920,20.63
06/1920,20.63
07/1920,20.63
08/1920,20.63
09/1920,20.63
10/1920,20.63
11/1920,20.63
12/1920,20.63
01/1921,20.69
02/1921,20.69
03/1921,20.69
04/1921,20.69
05/1921,20.69
06/1921,20.69
07/1921,20.69
08/1921,20.69
09/1921,20.69
10/1921,20.69
11/1921,20.69
12/1921,20.69
01/1922,20.84
02/1922,20.84
03/1922,20.84
04/1922,20.84
05/1922,20.84
06/1922,20.84
07/1922,20.84
08/1922,20.84
09/1922,20.84
10/1922,20.84
11/1922,20.84
12/1922,20.84
01/1923,20.75
02/1923,20.75
03/1923,20.75
04/1923,20.75
05/1923,20.75
06/1923,20.75
07/1923,20.75
08/1923,20.75
09/1923,20.75
10/1923,20.75
11/1923,20.75
12/1923,20.75
01/1924,20.78
02/1924,20.78
03/1924,20.78
04/1924,20.78
05/1924,20.78
06/1924,20.78
07/1924,20.78
08/1924,20.78
09/1924,20.78
10/1924,20.78
11/1924,20.78
12/1924,20.78
01/1925,20.75
02/1925,20.75
03/1925,20.75
04/1925,20.75
05/1925,20.75
06/1925,20.75
07/1925,20.75
08/1925,20.75
09/1925,20.75
10/1925,20.75
11/1925,20.75
12/1925,20.75
01/1926,20.72
02/1926,20.72
03/1926,20.72
04/1926,20.72
05/1926,20.72
06/1926,20.72
07/1926,20.72
08/1926,20.72
09/1926,20.72
10/1926,20.72
11/1926,20.72
12/1926,20.72
01/1927,20.75
02/1927,20.75
03/1927,20.75
04/1927,20.75
05/1927,20.75
06/1927,20.75
07/1927,20.75
08/1927,20.75
09/1927,20.75
10/1927,20.75
11/1927,20.75
12/1927,20.75
01/1928,20.78
02/1928,20.78
03/1928,20.78
04/1928,20.78
05/1928,20.78
06/1928,20.78
07/1928,20.78
08/1928,20.78
09/1928,20.78
10/1928,20.78
11/1928,20.78
12/1928,20.78
01/1929,20.72
02/1929,20.72
03/1929,20.72
04/1929,20.72
05/1929,20.72
06/1929,20.72
07/1929,20.72
08/1929,20.72
09/1929,20.72
10/1929,20.72
11/1929,20.72
12/1929,20.72
01/1930,20.69
02/1930,20.69
03/1930,20.69
04/1930,20.69
05/1930,20.69
06/1930,20.69
07/1930,20.69
08/1930,20.69
09/1930,20.69
10/1930,20.69
11/1930,20.69
12/1930,20.69
01/1931,22.59
02/1931,22.59
03/1931,22.59
04/1931,22.59
05/1931,22.59
06/1931,22.59
07/1931,22.59
08/1931,22.59
09/1931,22.59
10/1931,22.59
11/1931,22.59
12/1931,22.59
01/1932,20.78
02/1932,20.78
03/1932,20.78
04/1932,20.78
05/1932,20.78
06/1932,20.78
07/1932,20.78
08/1932,20.78
09/1932,20.78
10/1932,20.78
11/1932,20.78
12/1932,20.78
01/1933,26.47
02/1933,26.47
03/1933,26.47
04/1933,26.47
05/1933,26.47
06/1933,26.47
07/1933,26.47
08/1933,26.47
09/1933,26.47
10/1933,26.47
11/1933,26.47
12/1933,26.47
01/1934,35.0
02/1934,35.0
03/1934,35.0
04/1934,35.0
05/1934,35.0
06/1934,35.0
07/1934,35.0
08/1934,35.0
09/1934,35.0
10/1934,35.0
11/1934,35.0
12/1934,35.0
01/1935,35.0
02/1935,35.0
03/1935,35.0
04/1935,35.0
05/1935,35.0
06/1935,35.0
07/1935,35.0
08/1935,35.0
09/1935,35.0
10/1935,35.0
11/1935,35.0
12/1935,35.0
01/1936,35.0
02/1936,35.0
03/1936,35.0
04/1936,35.0
05/1936,35.0
06/1936,35.0
07/1936,35.0
08/1936,35.0
09/1936,35.0
10/1936,35.0
11/1936,35.0
12/1936,35.0
01/1937,35.0
02/1937,35.0
03/1937,35.0
04/1937,35.0
05/1937,35.0
06/1937,35.0
07/1937,35.0
08/1937,35.0
09/1937,35.0
10/1937,35.0
11/1937,35.0
12/1937,35.0
01/1938,35.0
02/1938,35.0
03/1938,35.0
04/1938,35.0
05/1938,35.0
06/1938,35.0
07/1938,35.0
08/1938,35.0
09/1938,35.0
10/1938,35.0
11/1938,35.0
12/1938,35.0
01/1939,34.69
02/1939,34.69
03/1939,34.69
04/1939,34.69
05/1939,34.69
06/1939,34.69
07/1939,34.69
08/1939,34.69
09/1939,34.69
10/1939,34.69
11/1939,34.69
12/1939,34.69
01/1940,34.06
02/1940,34.06
03/1940,34.06
04/1940,34.06
05/1940,34.06
06/1940,34.06
07/1940,34.06
08/1940,34.06
09/1940,34.06
10/1940,34.06
11/1940,34.06
12/1940,34.06
01/1941,34.06
02/1941,34.06
03/1941,34.06
04/1941,34.06
05/1941,34.06
06/1941,34.06
07/1941,34.06
08/1941,34.06
09/1941,34.06
10/1941,34.06
11/1941,34.06
12/1941,34.06
01/1942,34.06
02/1942,34.06
03/1942,34.06
04/1942,34.06
05/1942,34.06
06/1942,34.06
07/1942,34.06
08/1942,34.06
09/1942,34.06
10/1942,34.06
11/1942,34.06
